epoch,coverage,validity,proximity_continuous_manhattan,proximity_continuous_euclidean,prob_plausibility,log_density_cf,lof_scores_cf,isolation_forest_scores_cf,proximity_categorical_hamming,proximity_categorical_jaccard,time,dataset,dist-lambda,proj-lambda,flow-lambda,train-auroc,train-acc,test-auroc,test-acc
51,1.0000,0.0000,,,0.0000,-7.7325,10.2851,-0.1576,,,0.0000,MOONS,0.1000,0.8000,0.1000,653.5878,647.0000,1.0000,0.9878
102,1.0000,0.0247,0.5523,0.3911,0.0000,-7.7334,11.3387,-0.1714,,0.0000,0.0000,MOONS,0.1000,0.8000,0.1000,653.9559,652.0000,0.9997,0.9939
153,1.0000,0.4670,0.1146,0.0876,0.0000,-7.7295,1.1942,0.0124,,0.0000,0.0000,MOONS,0.1000,0.8000,0.1000,654.0000,653.0000,0.9979,0.9756
204,1.0000,0.2744,0.1320,0.1006,0.0000,-7.7313,1.2081,0.0094,,0.0000,0.0000,MOONS,0.1000,0.8000,0.1000,654.0000,653.0000,1.0000,1.0000
255,1.0000,0.4231,0.1529,0.1200,0.0000,-7.7324,1.1670,0.0098,,0.0000,0.0000,MOONS,0.1000,0.8000,0.1000,654.0000,653.0000,0.9996,0.9939
306,1.0000,0.5793,0.1566,0.1205,0.0000,-7.7313,1.1371,0.0111,,0.0000,0.0000,MOONS,0.1000,0.8000,0.1000,654.0000,653.0000,0.9985,0.9878
357,1.0000,0.4040,0.1789,0.1357,0.0000,-7.7310,1.1310,0.0084,,0.0000,0.0000,MOONS,0.1000,0.8000,0.1000,653.8288,649.0000,1.0000,0.9939
408,1.0000,0.4716,0.1991,0.1501,0.0000,-7.7315,1.1535,0.0079,,0.0000,0.0000,MOONS,0.1000,0.8000,0.1000,653.9437,648.0000,1.0000,0.9939
459,1.0000,0.3746,0.1707,0.1295,0.0000,-7.7325,1.1981,0.0072,,0.0000,0.0000,MOONS,0.1000,0.8000,0.1000,654.0000,653.0000,1.0000,0.9939
51,1.0000,0.0000,,,0.0000,-7.7325,10.2851,-0.1576,,,0.0029,MOONS,0.1000,0.8000,0.1000,653.5878,647.0000,1.0000,0.9878
102,1.0000,0.0247,0.5523,0.3911,0.0000,-7.7334,11.3387,-0.1714,,0.0000,0.0000,MOONS,0.1000,0.8000,0.1000,653.9559,652.0000,0.9997,0.9939
